Title,Release Date,Game Score,Developer,Publisher,Genre,Platforms,Image URL
Wild Hearts,"Feb 17, 2023",79,Omega Force,Electronic Arts,Role-Playing,"PC, Playstation 5, Xbox Series X",https://www.gamespot.com/a/uploads/scale_tiny/box/4/6/2/8/572856-894628.jpg
Evergate,"Aug 18, 2020",70,Stone Lantern Games LLC,PQube,Platformer,"Playstation 5, PC, Nintendo Switch, Xbox Series X",https://www.gamespot.com/a/uploads/scale_tiny/box/3/6/2/1/486090-683621.jpg
Ninjala,"Jun 24, 2020",68,Soleil Ltd.,"GungHo Online Entertainment America, Inc.",Action,Nintendo Switch,https://www.gamespot.com/a/uploads/scale_tiny/box/6/1/0/3/483430-676103.jpg
Famicom Detective Club: The Missing Heir,"May 14, 2021",74,Mages.,Nintendo,Adventure,Nintendo Switch,https://www.gamespot.com/a/uploads/scale_tiny/box/7/6/0/8/527219-787608.jpg
Rock of Ages 3: Make & Break,"Jul 21, 2020",72,ACE Team,Modus,Strategy,"PC, Nintendo Switch",https://www.gamespot.com/a/uploads/scale_tiny/box/3/7/0/7/501145-723707.jpg
FIFA 21,"Oct 6, 2020",72,Electronic Arts,Electronic Arts,Simulation,"Playstation 5, PC, Nintendo Switch, Xbox Series X",https://www.gamespot.com/a/uploads/scale_tiny/box/6/9/4/4/514266-756944.jpg
Helldivers 2,"Feb 8, 2024",82,Arrowhead Game Studios,PlayStation PC,Action,"PC, Playstation 5",https://www.gamespot.com/a/uploads/scale_tiny/box/8/3/9/0/589428-938390.jpg
Psychonauts 2,"Aug 25, 2021",87,Double Fine Productions,Xbox Game Studios,3D,"PC, Xbox Series X",https://www.gamespot.com/a/uploads/scale_tiny/1574/15746725/3476207-small.jpg
Disney Dreamlight Valley,"Sep 6, 2022",70,Gameloft,Gameloft,Simulation,"Nintendo Switch, PC, Playstation 5, Xbox Series X",https://www.gamespot.com/a/uploads/scale_tiny/box/7/9/9/7/563578-867997.jpg
Ikenfell,"Oct 8, 2020",73,Happy Ray Games,Humble Games,Role-Playing,"PC, Nintendo Switch",https://www.gamespot.com/a/uploads/scale_tiny/box/0/7/2/5/481450-670725.jpg
Nioh 2,"Mar 13, 2020",85,Team Ninja,Koei Tecmo Games,Role-Playing,"PC, Playstation 5",https://www.gamespot.com/a/uploads/scale_tiny/box/6/0/7/4/483420-676074.jpg
Paper Mario: The Origami King,"Jul 17, 2020",80,Intelligent Systems,Nintendo,Role-Playing,Nintendo Switch,https://www.gamespot.com/a/uploads/scale_tiny/box/2/3/9/5/512300-752395.jpg
Another Code: Recollection,"Jan 19, 2024",73,Arc System Works,Nintendo,Compilation,Nintendo Switch,https://www.gamespot.com/a/uploads/scale_tiny/box/6/8/4/9/603152-966849.jpg
Biomutant,"May 25, 2021",66,Experiment 101,THQ Nordic,Action,"Nintendo Switch, PC, Playstation 5, Xbox Series X",https://www.gamespot.com/a/uploads/scale_tiny/box/2/5/1/5/469225-642515.jpg
Resident Evil 3,"Apr 3, 2020",79,Capcom,Capcom,3D,"Nintendo Switch, PC, Playstation 5, Xbox Series X",https://www.gamespot.com/a/uploads/scale_tiny/1574/15746725/3645502-123.jpg
Gnosia,"Mar 4, 2021",82,Petit Depotto,Petit Depotto,Adventure,"PC, Nintendo Switch, Playstation 5, Xbox Series X",https://www.gamespot.com/a/uploads/scale_tiny/box/7/8/8/9/464609-717889.jpg
Panzer Paladin,"Jul 21, 2020",77,Tribute Games,Tribute Games,Platformer,"PC, Nintendo Switch",https://www.gamespot.com/a/uploads/scale_tiny/box/4/0/4/9/508909-744049.jpg
Cult of the Lamb,"Aug 11, 2022",82,Massive Monster,Devolver Digital,Adventure,"Nintendo Switch, PC, Playstation 5, Xbox Series X",https://www.gamespot.com/a/uploads/scale_tiny/box/3/7/5/5/536959-813755.jpg
Grounded,"Jul 28, 2020",82,Double Eleven,Xbox Game Studios,Adventure,"Playstation 5, PC, Nintendo Switch, Xbox Series X",https://www.gamespot.com/a/uploads/scale_tiny/box/2/7/2/8/504764-732728.jpg
New Tales from the Borderlands,"Oct 21, 2022",69,Mass Media,2K Games,Adventure,"Nintendo Switch, PC, Playstation 5, Xbox Series X",https://www.gamespot.com/a/uploads/scale_tiny/box/6/7/5/6/563147-866756.jpg
Dying Light 2 Stay Human,"Feb 4, 2022",76,Techland,Techland,3D,"Nintendo Switch, PC, Playstation 5, Xbox Series X",https://www.gamespot.com/a/uploads/scale_tiny/box/5/8/0/9/483358-675809.jpg
"Warhammer 40,000: Boltgun","May 23, 2023",75,Auroch Digital,Focus Entertainment,Shooter,"Nintendo Switch, PC, Playstation 5, Xbox Series X",https://www.gamespot.com/a/uploads/scale_tiny/box/3/2/2/0/565454-873220.jpg
Sonic Frontiers,"Nov 8, 2022",70,Sonic Team,Sega,3D,"PC, Nintendo Switch, Playstation 5, Xbox Series X",https://www.gamespot.com/a/uploads/scale_tiny/box/0/8/4/0/532386-800840.jpg
WarioWare: Move It!,"Nov 3, 2023",75,Intelligent Systems,Nintendo,Party/Minigame,Nintendo Switch,https://www.gamespot.com/a/uploads/scale_tiny/box/4/7/1/8/591687-944718.jpg
Game Builder Garage,"Jun 11, 2021",77,Nintendo,Nintendo,N/A,Nintendo Switch,https://www.gamespot.com/a/uploads/scale_tiny/box/7/8/5/7/531154-797857.jpg
Marvel's Guardians of the Galaxy,"Oct 26, 2021",80,Eidos Montreal,Square Enix,Action,"Nintendo Switch, PC, Playstation 5, Xbox Series X",https://www.gamespot.com/a/uploads/scale_tiny/box/3/3/3/1/533247-803331.jpg
Ratchet & Clank: Rift Apart,"Jun 11, 2021",88,Nixxes Software,Sony Interactive Entertainment,Platformer,"PC, Playstation 5",https://www.gamespot.com/a/uploads/scale_tiny/box/5/7/6/0/513782-755760.jpg
Good Job!,"Mar 26, 2020",78,Paladin Studios,Nintendo,Action,Nintendo Switch,https://www.gamespot.com/a/uploads/scale_tiny/box/6/8/3/5/509966-746835.jpg
Star Renegades,"Sep 8, 2020",77,"Massive Damage, Inc.",Raw Fury,Strategy,"PC, Nintendo Switch",https://www.gamespot.com/a/uploads/scale_tiny/box/6/4/2/1/479637-666421.jpg
Life is Strange: True Colors,"Sep 10, 2021",81,Deck Nine Games,Square Enix,Action,"Nintendo Switch, PC, Playstation 5, Xbox Series X",https://www.gamespot.com/a/uploads/scale_tiny/box/1/7/9/7/528716-791797.jpg
Spelunky 2,"Sep 15, 2020",87,Mossmouth,Mossmouth,Platformer,"PC, Nintendo Switch, Xbox Series X",https://www.gamespot.com/a/uploads/scale_tiny/1593/15930215/3563969-screen%20shot%202019-07-25%20at%209.01.05%20am.png
Sonic Superstars,"Oct 17, 2023",73,Arzest,Sega,2D,"Nintendo Switch, PC, Playstation 5, Xbox Series X",https://www.gamespot.com/a/uploads/scale_tiny/box/1/6/3/2/590637-941632.jpg
Grapple Dog,"Feb 10, 2022",76,Joseph Gribbin,"H2 Interactive Co., Ltd.",Platformer,"PC, Nintendo Switch, Xbox Series X",https://www.gamespot.com/a/uploads/scale_tiny/box/3/1/6/3/525369-783163.jpg
Deathloop,"Sep 14, 2021",88,Arkane Studios,Bethesda Softworks,3D,"PC, Playstation 5, Xbox Series X",https://www.gamespot.com/a/uploads/scale_tiny/1593/15930215/3695852-1.jpg
Dragon Quest Treasures,"Dec 9, 2022",72,TOSE,Square Enix,Role-Playing,"PC, Nintendo Switch",https://www.gamespot.com/a/uploads/scale_tiny/box/8/0/3/2/532329-878032.jpg
Necrobarista,"Jul 17, 2020",81,Route 59,Route 59,Adventure,"PC, Nintendo Switch",https://www.gamespot.com/a/uploads/scale_tiny/172/1720905/3313467-pax001.jpg
Dead Space,"Jan 27, 2023",89,Motive Studios,Electronic Arts,3D,"PC, Playstation 5, Xbox Series X",https://www.gamespot.com/a/uploads/scale_tiny/box/9/0/8/9/535206-809089.jpg
Return to Monkey Island,"Sep 19, 2022",87,Terrible Toybox,Devolver Digital,Adventure,"Playstation 5, PC, Nintendo Switch, Xbox Series X",https://www.gamespot.com/a/uploads/scale_tiny/box/3/6/3/5/562009-863635.jpg
DIRT 5,"Nov 3, 2020",79,Codemasters,Deep Silver,Driving/Racing,"PC, Playstation 5, Xbox Series X",https://www.gamespot.com/a/uploads/scale_tiny/box/4/8/9/4/511891-774894.jpg
Humanity,"May 16, 2023",86,Tha Ltd.,Enhance Games,Action,"PC, Playstation 5, Xbox Series X",https://www.gamespot.com/a/uploads/scale_tiny/box/7/7/7/9/502645-727779.jpg
Like a Dragon Gaiden: The Man Who Erased His Name,"Nov 9, 2023",78,Ryu ga Gotoku Studios,Sega,Action,"PC, Playstation 5, Xbox Series X",https://www.gamespot.com/a/uploads/scale_tiny/box/2/2/4/6/572099-892246.jpg
Crusader Kings III,"Sep 1, 2020",91,Paradox Interactive,Paradox Interactive,Real-Time,"PC, Playstation 5, Xbox Series X",https://www.gamespot.com/a/uploads/scale_tiny/box/0/0/8/1/503504-730081.jpg
Desta: The Memories Between,"Sep 27, 2022",73,ustwo,Netflix,Strategy,"PC, Nintendo Switch",https://www.gamespot.com/a/uploads/scale_tiny/box/6/6/7/6/566278-876676.jpg
Digimon Survive,"Jul 29, 2022",70,Hyde,Bandai Namco Games,Strategy,"PC, Nintendo Switch, Xbox Series X",https://www.gamespot.com/a/uploads/scale_tiny/1574/15746725/3483548-untitled-1.jpg
Call of Duty: Warzone,"Nov 14, 2022",79,Infinity Ward,Activision,Action,"PC, Playstation 5, Xbox Series X",https://www.gamespot.com/a/uploads/scale_tiny/box/2/7/4/3/572198-892743.jpg
Bugsnax,"Nov 12, 2020",75,"Young Horses, Inc","Young Horses, Inc",Adventure,"Nintendo Switch, PC, Playstation 5, Xbox Series X",https://www.gamespot.com/a/uploads/scale_tiny/box/5/7/7/6/513795-755776.jpg
A Total War Saga: TROY,"Aug 13, 2020",75,Creative Assembly,Sega,Strategy,PC,https://www.gamespot.com/a/uploads/scale_tiny/box/7/2/4/5/502448-727245.jpg
The Legend of Zelda: Tears of the Kingdom,"May 12, 2023",96,Nintendo,Nintendo,Action,Nintendo Switch,https://www.gamespot.com/a/uploads/scale_tiny/box/5/9/7/4/497748-715974.jpg
Mario Golf: Super Rush,"Jun 25, 2021",70,Camelot Software Planning,Nintendo,Arcade,Nintendo Switch,https://www.gamespot.com/a/uploads/scale_tiny/box/7/6/1/2/527222-787612.jpg
Minecraft Legends,"Apr 18, 2023",71,Mojang AB,Mojang AB,Real-Time,"Playstation 5, PC, Nintendo Switch, Xbox Series X",https://www.gamespot.com/a/uploads/scale_tiny/box/5/5/8/5/566097-875585.jpg
Guilty Gear -Strive-,"Jun 8, 2021",87,Arc System Works,Arc System Works,2D,"PC, Playstation 5, Xbox Series X",https://www.gamespot.com/a/uploads/scale_tiny/box/2/1/4/6/502288-762146.jpg
NEO: The World Ends with You,"Jul 27, 2021",80,h.a.n.d. Inc.,Square Enix,Action,"PC, Nintendo Switch",https://www.gamespot.com/a/uploads/scale_tiny/box/7/2/5/5/522686-777255.jpg
Super Mario Bros. Wonder,"Oct 20, 2023",92,Nintendo,Nintendo,Platformer,Nintendo Switch,https://www.gamespot.com/a/uploads/scale_tiny/box/4/7/1/9/591688-944719.jpg
OlliOlli World,"Feb 8, 2022",84,roll7,Private Division,2D,"PC, Nintendo Switch, Playstation 5, Xbox Series X",https://www.gamespot.com/a/uploads/scale_tiny/box/5/4/2/1/530136-795421.jpg
Mundaun,"Mar 16, 2021",72,Hidden Fields,MWM Interactive,3D,"Playstation 5, PC, Nintendo Switch, Xbox Series X",https://www.gamespot.com/a/uploads/scale_tiny/box/3/2/9/2/482576-673292.jpg
Another Crab's Treasure,"Apr 25, 2024",79,Aggro Crab,Aggro Crab,Action,"PC, Nintendo Switch, Playstation 5, Xbox Series X",https://www.gamespot.com/a/uploads/scale_tiny/box/0/1/3/8/564470-870138.jpg
Disney TRON: Identity,"Apr 11, 2023",67,Bithell Games,Bithell Games,Adventure,"PC, Nintendo Switch",https://www.gamespot.com/a/uploads/scale_tiny/box/1/6/0/2/571854-891602.jpg
LEGO Star Wars: The Skywalker Saga,"Apr 5, 2022",82,TT Games,Warner Bros. Interactive Entertainment,Action,"Playstation 5, PC, Nintendo Switch, Xbox Series X",https://www.gamespot.com/a/uploads/scale_tiny/box/5/6/2/6/497660-715626.jpg
The Medium,"Jan 28, 2021",71,Bloober Team,Bloober Team,3D,"Nintendo Switch, PC, Playstation 5, Xbox Series X",https://www.gamespot.com/a/uploads/scale_tiny/box/1/4/7/9/511890-751479.jpg
Nintendo Switch Sports,"Apr 29, 2022",72,Nintendo,Nintendo,Sports,Nintendo Switch,https://www.gamespot.com/a/uploads/scale_tiny/box/2/4/1/1/557738-852411.jpg
Tell Me Why,"Aug 27, 2020",78,DONTNOD Entertainment,Xbox Game Studios,Adventure,"PC, Xbox Series X",https://www.gamespot.com/a/uploads/scale_tiny/box/7/6/8/2/504767-757682.jpg
The Pedestrian,"Jan 29, 2020",81,Skookum Arts,Skookum Arts,Action,"Playstation 5, PC, Nintendo Switch, Xbox Series X",https://www.gamespot.com/a/uploads/scale_tiny/box/9/9/8/7/460176-619987.jpg
Immortals Fenyx Rising,"Dec 3, 2020",81,Ubisoft Quebec,Ubisoft,Action,"Playstation 5, PC, Nintendo Switch, Xbox Series X",https://www.gamespot.com/a/uploads/scale_tiny/box/5/8/1/7/497716-715817.jpg
Stray Gods: The Roleplaying Musical,"Aug 10, 2023",75,Summerfall Studios,Humble Games,Role-Playing,"Nintendo Switch, PC, Playstation 5, Xbox Series X",https://www.gamespot.com/a/uploads/scale_tiny/box/0/4/1/3/560766-860413.jpg
Pepper Grinder,"Mar 28, 2024",78,Ahr Ech,Devolver Digital,Platformer,"PC, Nintendo Switch",https://www.gamespot.com/a/uploads/scale_tiny/box/3/3/1/4/575754-903314.jpg
Age of Empires IV,"Oct 28, 2021",81,Relic,Xbox Game Studios,Real-Time,"PC, Xbox Series X",https://www.gamespot.com/a/uploads/scale_tiny/box/4/9/4/8/469271-794948.jpg
Horizon Forbidden West,"Feb 18, 2022",88,Nixxes Software,PlayStation PC,Action,"PC, Playstation 5",https://www.gamespot.com/a/uploads/scale_tiny/box/5/7/8/1/513799-755781.jpg
Unsighted,"Sep 30, 2021",84,Studio Pixel Punk,Humble Games,Action,"PC, Nintendo Switch",https://www.gamespot.com/a/uploads/scale_tiny/box/0/5/0/8/496090-710508.jpg
Tetris Effect: Connected,"Nov 10, 2020",88,Monstars Inc.,Enhance Games,Matching/Stacking,"Playstation 5, PC, Nintendo Switch, Xbox Series X",https://www.gamespot.com/a/uploads/scale_tiny/box/1/1/0/5/516157-761105.jpg
Fall Guys,"Aug 4, 2020",81,Mediatonic,Epic Games,Party/Minigame,"Playstation 5, PC, Nintendo Switch, Xbox Series X",https://www.gamespot.com/a/uploads/scale_tiny/1576/15769789/3734627-header%281%29.jpg
Project CARS 3,"Aug 3, 2020",70,Slightly Mad Studios,Bandai Namco Games,Simulation,PC,https://www.gamespot.com/a/uploads/scale_tiny/box/2/2/3/9/513385-762239.jpg
Half-Life: Alyx,"Mar 23, 2020",93,Valve Software,Valve Software,3D,PC,https://www.gamespot.com/a/uploads/scale_tiny/1593/15930215/3607221-header.jpg
SpongeBob SquarePants: The Cosmic Shake,"Jan 31, 2023",70,HandyGames,HandyGames,3D,"PC, Nintendo Switch, Playstation 5, Xbox Series X",https://www.gamespot.com/a/uploads/scale_tiny/box/7/8/3/9/538333-817839.jpg
Xenoblade Chronicles 3,"Jul 29, 2022",89,Monolith Soft,Nintendo,Role-Playing,Nintendo Switch,https://www.gamespot.com/a/uploads/scale_tiny/box/2/4/1/8/557740-852418.jpg
New Pokemon Snap,"Apr 30, 2021",79,Bandai Namco Games,Nintendo,Action,Nintendo Switch,https://www.gamespot.com/a/uploads/scale_tiny/box/6/4/6/7/514100-756467.jpg
MLB The Show 23,"Mar 24, 2023",82,Sony Interactive Entertainment San Diego Studio,MLBAM,Baseball,"Nintendo Switch, Playstation 5, Xbox Series X",https://www.gamespot.com/a/uploads/scale_tiny/box/7/5/3/2/581284-917532.jpg
Master Detective Archives: RAIN CODE,"Jun 30, 2023",77,Too Kyo Games,Spike Chunsoft,Adventure,"PC, Nintendo Switch, Playstation 5, Xbox Series X",https://www.gamespot.com/a/uploads/scale_tiny/box/1/3/4/2/544699-831342.jpg
Viewfinder,"Jul 18, 2023",84,Sad Owl Studios,Thunderful,First-Person,"PC, Playstation 5",https://www.gamespot.com/a/uploads/scale_tiny/box/8/9/8/0/577616-908980.jpg
Final Fantasy VII Remake,"Apr 10, 2020",87,Square Enix,Square Enix,Role-Playing,"PC, Playstation 5",https://www.gamespot.com/a/uploads/scale_tiny/1593/15930215/3546367-screen%20shot%202019-06-11%20at%203.04.46%20pm.png
Super Mario 3D All-Stars,"Sep 18, 2020",82,Nintendo,Nintendo,Compilation,Nintendo Switch,https://www.gamespot.com/a/uploads/scale_tiny/box/6/0/8/5/518190-766085.jpg
RiffTrax: The Game,"May 5, 2022",79,Wide Right Interactive,Wide Right Interactive,Party/Minigame,"PC, Nintendo Switch",https://www.gamespot.com/a/uploads/scale_tiny/box/9/9/7/7/560644-859977.jpg
Nickelodeon All-Star Brawl,"Oct 5, 2021",65,Ludosity Interactive,GameMill Entertainment,2D,"PC, Nintendo Switch, Playstation 5, Xbox Series X",https://www.gamespot.com/a/uploads/scale_tiny/box/7/5/1/2/534667-807512.jpg
If Found...,"May 18, 2020",84,dreamfeel,Annapurna Interactive,Adventure,"PC, Nintendo Switch",https://www.gamespot.com/a/uploads/scale_tiny/box/5/0/3/1/501672-725031.jpg
Granblue Fantasy: Relink,"Jan 29, 2024",80,Cygames,Cygames,Role-Playing,"PC, Playstation 5",https://www.gamespot.com/a/uploads/scale_tiny/box/8/3/2/1/457900-838321.jpg
WarioWare: Get It Together!,"Sep 10, 2021",76,Intelligent Systems,Nintendo,Party/Minigame,Nintendo Switch,https://www.gamespot.com/a/uploads/scale_tiny/box/3/8/3/2/533308-803832.jpg
Sam & Max: Beyond Time and Space,"Dec 8, 2021",80,Telltale Games,Telltale Games,Adventure,"PC, Nintendo Switch",https://www.gamespot.com/a/uploads/scale_tiny/box/6/7/4/6/40703-106746.jpg
Watch Dogs: Legion,"Oct 29, 2020",76,Ubisoft,Ubisoft,Action,"PC, Playstation 5, Xbox Series X",https://www.gamespot.com/a/uploads/scale_tiny/box/5/9/4/7/497453-715947.jpg
Aragami 2,"Sep 17, 2021",64,Lince Works,Arc System Works,Adventure,"Nintendo Switch, PC, Playstation 5, Xbox Series X",https://www.gamespot.com/a/uploads/scale_tiny/box/5/2/7/8/517831-765278.jpg
Sea of Stars,"Aug 29, 2023",87,Sabotage Studio,Sabotage Studio,Role-Playing,"Playstation 5, PC, Nintendo Switch, Xbox Series X",https://www.gamespot.com/a/uploads/scale_tiny/box/6/2/3/6/509725-746236.jpg
Balatro,"Feb 20, 2024",90,LocalThunk,PlayStack,Card Game,"Nintendo Switch, PC, Playstation 5, Xbox Series X",https://www.gamespot.com/a/uploads/scale_tiny/box/8/1/6/2/589348-938162.jpg
Venba,"Jul 31, 2023",79,Visai Games,Visai Games,Adventure,"Playstation 5, PC, Nintendo Switch, Xbox Series X",https://www.gamespot.com/a/uploads/scale_tiny/box/0/4/8/8/524069-780488.jpg
Ghost of Tsushima,"Jul 17, 2020",83,Nixxes Software,PlayStation PC,Action,"PC, Playstation 5",https://www.gamespot.com/a/uploads/scale_tiny/1197/11970954/3353350-ghostoftsushima-box.jpg
Monster Hunter Rise,"Mar 26, 2021",88,Capcom,Capcom,Action,"PC, Nintendo Switch, Playstation 5, Xbox Series X",https://www.gamespot.com/a/uploads/scale_tiny/box/7/9/1/9/519025-767919.jpg
Scarlet Nexus,"Jun 25, 2021",80,Bandai Namco Games,Bandai Namco Games,Action,"PC, Playstation 5, Xbox Series X",https://www.gamespot.com/a/uploads/scale_tiny/box/1/4/9/7/511895-751497.jpg
XCOM: Chimera Squad,"Apr 23, 2020",77,Firaxis Games,2K Games,Strategy,PC,https://www.gamespot.com/a/uploads/scale_tiny/box/8/7/5/0/510738-748750.jpg
NBA 2K24,"Sep 8, 2023",68,Visual Concepts,2K Games,Basketball,"Nintendo Switch, PC, Playstation 5, Xbox Series X",https://www.gamespot.com/a/bundles/gamespotsite/images/box-art--square.jpg
Cyberpunk 2077,"Dec 10, 2020",86,CD Projekt Red Studio,Warner Bros. Interactive Entertainment,Action,"PC, Playstation 5, Xbox Series X",https://www.gamespot.com/a/uploads/scale_tiny/1593/15930215/3548789-unknown.jpg
Call of Duty: Warzone Caldera,"Mar 10, 2020",79,Infinity Ward,Activision,First-Person,PC,https://www.gamespot.com/a/uploads/scale_tiny/1593/15930215/3662392-1584724927_267836_1584725024_noticia_normal.jpg
THE FINALS,"Dec 7, 2023",80,Embark Studios,Embark Studios,First-Person,"PC, Playstation 5, Xbox Series X",https://www.gamespot.com/a/uploads/scale_tiny/box/8/5/2/0/570887-888520.jpg
Death's Door,"Jul 20, 2021",85,Acid Nerve,Devolver Digital,Adventure,"Nintendo Switch, PC, Playstation 5, Xbox Series X",https://www.gamespot.com/a/uploads/scale_tiny/box/2/9/4/8/529059-792948.jpg
Nickelodeon All-Star Brawl 2,"Nov 7, 2023",77,Ludosity Interactive,GameMill Entertainment,2D,"Nintendo Switch, PC, Playstation 5, Xbox Series X",https://www.gamespot.com/a/uploads/scale_tiny/box/3/7/6/7/596244-953767.jpg
Ultros,"Feb 13, 2024",79,Hadoque,Kepler Interactive,Platformer,"PC, Playstation 5",https://www.gamespot.com/a/uploads/scale_tiny/box/8/4/1/8/589439-938418.jpg
EA Sports FC 24,"Sep 22, 2023",75,EA Canada,Electronic Arts,Simulation,"Nintendo Switch, PC, Playstation 5, Xbox Series X",https://www.gamespot.com/a/uploads/scale_tiny/box/9/2/7/7/593624-949277.jpg
WindJammers 2,"Jan 20, 2022",78,DotEmu,DotEmu,Sports,"PC, Nintendo Switch, Playstation 5, Xbox Series X",https://www.gamespot.com/a/uploads/scale_tiny/box/3/3/1/2/485985-683312.jpg
Planet of Lana,"May 23, 2023",80,Wishfully,Thunderful,Adventure,"Playstation 5, PC, Nintendo Switch, Xbox Series X",https://www.gamespot.com/a/uploads/scale_tiny/box/2/7/3/2/533059-802732.jpg
SIFU,"Feb 6, 2022",81,Sloclap,Sloclap,3D,"Nintendo Switch, PC, Playstation 5, Xbox Series X",https://www.gamespot.com/a/uploads/scale_tiny/box/8/8/0/1/527647-788801.jpg
Oxenfree II: Lost Signals,"Jul 12, 2023",73,Night School Studio,Netflix,Adventure,"PC, Nintendo Switch, Playstation 5",https://www.gamespot.com/a/uploads/scale_tiny/box/5/4/2/6/530139-795426.jpg
Animal Well,"May 9, 2024",91,Shared Memory,Limited Run Games,Metroidvania,"Nintendo Switch, PC, Playstation 5",https://www.gamespot.com/a/uploads/scale_tiny/box/2/4/5/1/557748-852451.jpg
The Big Con,"Aug 31, 2021",77,Mighty Yell,Mighty Yell,Adventure,"Nintendo Switch, PC, Playstation 5, Xbox Series X",https://www.gamespot.com/a/uploads/scale_tiny/box/3/7/7/2/501174-723772.jpg
Bright Memory: Infinite,"Nov 11, 2021",67,FYQD-Studio,Playism,Shooter,"Nintendo Switch, PC, Playstation 5, Xbox Series X",https://www.gamespot.com/a/uploads/scale_tiny/box/6/5/3/4/506156-736534.jpg
Armored Core VI: Fires of Rubicon,"Aug 24, 2023",86,From Software,From Software,Simulation,"PC, Playstation 5, Xbox Series X",https://www.gamespot.com/a/uploads/scale_tiny/box/9/0/2/7/577631-909027.jpg
Bloodstained: Curse of the Moon 2,"Jul 10, 2020",82,Inti,Limited Run Games,Platformer,"PC, Nintendo Switch",https://www.gamespot.com/a/uploads/scale_tiny/box/7/2/0/7/514411-757207.jpg
WWE 2K24,"Mar 5, 2024",81,Visual Concepts,2K Games,Action,"PC, Playstation 5, Xbox Series X",https://www.gamespot.com/a/uploads/scale_tiny/box/6/0/3/1/615521-996031.jpg
Monster Hunter Stories 2: Wings of Ruin,"Jul 9, 2021",81,Capcom,Capcom,Role-Playing,"PC, Nintendo Switch",https://www.gamespot.com/a/uploads/scale_tiny/box/7/9/2/0/519026-767920.jpg
Sam & Max: Save the World,"Dec 2, 2020",75,Skunkape Games,Skunkape Games,Adventure,"PC, Nintendo Switch",https://www.gamespot.com/a/uploads/scale_tiny/box/4/4/4/1/30182-84441.jpg
